學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
7	國立陽明交通大學	1111001	教育研究所	D 日	D 博士	30	0	2	18 新竹市	1 一般
7	國立陽明交通大學	1111001	教育研究所	D 日	M 碩士	83	12	20	18 新竹市	1 一般
7	國立陽明交通大學	1131002	英語教學研究所	D 日	M 碩士	40	6	8	18 新竹市	1 一般
7	國立陽明交通大學	2122004	應用藝術研究所	D 日	D 博士	27	0	1	18 新竹市	1 一般
7	國立陽明交通大學	2122004	應用藝術研究所	D 日	M 碩士	78	7	26	18 新竹市	1 一般
7	國立陽明交通大學	2151003	音樂研究所	D 日	M 碩士	66	6	17	18 新竹市	1 一般
7	國立陽明交通大學	2191107	視覺文化研究所	D 日	M 碩士	18	0	1	18 新竹市	1 一般
7	國立陽明交通大學	2222095	客家文化學院博士班	D 日	D 博士	8	0	0	18 新竹市	1 一般
7	國立陽明交通大學	2231108	心智哲學研究所	D 日	M 碩士	26	0	6	18 新竹市	1 一般
7	國立陽明交通大學	2299008	人文社會學系族群與文化碩士班	D 日	M 碩士	30	0	3	18 新竹市	1 一般
7	國立陽明交通大學	2299008	人文社會學系	D 日	B 學士	196	16	36	18 新竹市	1 一般
7	國立陽明交通大學	2299009	亞際文化研究國際碩士學位學程(台灣聯合大學系統)	D 日	M 碩士	24	1	3	18 新竹市	1 一般
7	國立陽明交通大學	2299010	社會與文化研究所	D 日	D 博士	52	0	4	18 新竹市	1 一般
7	國立陽明交通大學	2299010	社會與文化研究所	D 日	M 碩士	34	7	6	18 新竹市	1 一般
7	國立陽明交通大學	02299Y11	人文社會學院	D 日		0	2	0	18 新竹市	1 一般
7	國立陽明交通大學	02299Y66	人文與社會科學學院	D 日		0	29	0	18 新竹市	1 一般
7	國立陽明交通大學	2311005	外國語文學系外國文學與語言學碩士班	D 日	M 碩士	40	0	13	18 新竹市	1 一般
7	國立陽明交通大學	2311005	外國語文學系	D 日	B 學士	205	13	41	18 新竹市	1 一般
7	國立陽明交通大學	3143013	客家社會與文化碩士在職專班	N 職	M 碩士	66	0	8	18 新竹市	1 一般
7	國立陽明交通大學	3199109	科技與社會研究所	D 日	M 碩士	23	0	7	18 新竹市	1 一般
7	國立陽明交通大學	3211014	傳播研究所	D 日	M 碩士	75	6	17	18 新竹市	1 一般
7	國立陽明交通大學	3211015	傳播與科技學系	D 日	M 碩士	47	0	22	18 新竹市	1 一般
7	國立陽明交通大學	3211015	傳播與科技學系	D 日	B 學士	167	14	40	18 新竹市	1 一般
7	國立陽明交通大學	4121020	資訊管理與財務金融學系財務金融博士班	D 日	D 博士	29	0	1	18 新竹市	1 一般
7	國立陽明交通大學	4121020	資訊管理與財務金融學系財務金融碩士班	D 日	M 碩士	108	0	42	18 新竹市	1 一般
7	國立陽明交通大學	4121020	資訊管理與財務金融學系	D 日	B 學士	173	13	40	18 新竹市	1 一般
7	國立陽明交通大學	4131016	管理學院企業管理碩士學位學程	D 日	M 碩士	73	2	25	18 新竹市	1 一般
7	國立陽明交通大學	4131017	經營管理研究所	D 日	D 博士	25	0	5	18 新竹市	1 一般
7	國立陽明交通大學	4131017	經營管理研究所	D 日	M 碩士	95	8	47	18 新竹市	1 一般
7	國立陽明交通大學	4131018	管理科學系	D 日	D 博士	27	0	3	18 新竹市	1 一般
7	國立陽明交通大學	4131018	管理科學系	D 日	M 碩士	73	0	35	18 新竹市	1 一般
7	國立陽明交通大學	4131018	管理科學系	D 日	B 學士	206	13	49	18 新竹市	1 一般
7	國立陽明交通大學	4131026	管理學院碩士在職專班	N 職	M 碩士	429	2	182	18 新竹市	1 一般
7	國立陽明交通大學	4131164	生技醫療經營管理碩士在職學位學程	N 職	M 碩士	38	0	12	18 新竹市	1 一般
7	國立陽明交通大學	4133110	醫務管理研究所	D 日	M 碩士	23	0	6	18 新竹市	1 一般
7	國立陽明交通大學	4133110	醫務管理研究所	N 職	M 碩士	52	0	20	18 新竹市	1 一般
7	國立陽明交通大學	4199023	科技管理研究所	D 日	D 博士	21	0	1	18 新竹市	1 一般
7	國立陽明交通大學	4199023	科技管理研究所	D 日	M 碩士	51	7	21	18 新竹市	1 一般
7	國立陽明交通大學	4199024	高階主管管理碩士學程	N 職	M 碩士	128	2	61	18 新竹市	1 一般
7	國立陽明交通大學	4212027	科技法律研究所	D 日	D 博士	18	0	1	18 新竹市	1 一般
7	國立陽明交通大學	4212027	科技法律研究所	D 日	M 碩士	112	14	31	18 新竹市	1 一般
7	國立陽明交通大學	4212027	科技法律研究所	N 職	M 碩士	89	0	11	18 新竹市	1 一般
7	國立陽明交通大學	5121028	生物科技學系	D 日	D 博士	65	0	4	18 新竹市	1 一般
7	國立陽明交通大學	5121028	生物科技學系	D 日	M 碩士	106	0	33	18 新竹市	1 一般
7	國立陽明交通大學	5121028	生物科技學系	D 日	B 學士	287	27	59	18 新竹市	1 一般
7	國立陽明交通大學	5121030	分子醫學與生物工程研究所	D 日	D 博士	20	0	2	18 新竹市	1 一般
7	國立陽明交通大學	5121030	分子醫學與生物工程研究所	D 日	M 碩士	60	7	27	18 新竹市	1 一般
7	國立陽明交通大學	5121094	生物科技學院產業博士班	D 日	D 博士	14	0	0	18 新竹市	1 一般
7	國立陽明交通大學	5121112	生命科學系暨基因體科學研究所	D 日	D 博士	15	0	2	18 新竹市	1 一般
7	國立陽明交通大學	5121112	生命科學系暨基因體科學研究所	D 日	M 碩士	57	0	24	18 新竹市	1 一般
7	國立陽明交通大學	5121112	生命科學系暨基因體科學研究所	D 日	B 學士	94	0	22	18 新竹市	1 一般
7	國立陽明交通大學	5121165	生技醫療產業博士學位學程	D 日	D 博士	10	0	2	18 新竹市	1 一般
7	國立陽明交通大學	05121X18	生命科學院	D 日		0	64	0	18 新竹市	1 一般
7	國立陽明交通大學	5122114	微生物及免疫學研究所	D 日	D 博士	24	0	3	18 新竹市	1 一般
7	國立陽明交通大學	5122114	微生物及免疫學研究所	D 日	M 碩士	57	0	12	18 新竹市	1 一般
7	國立陽明交通大學	5123116	生化暨分子生物研究所	D 日	D 博士	23	0	4	18 新竹市	1 一般
7	國立陽明交通大學	5123116	生化暨分子生物研究所	D 日	M 碩士	46	0	22	18 新竹市	1 一般
7	國立陽明交通大學	5124034	生物資訊及系統生物研究所	D 日	D 博士	28	0	2	18 新竹市	1 一般
7	國立陽明交通大學	5124034	生物資訊及系統生物研究所	D 日	M 碩士	40	7	15	18 新竹市	1 一般
7	國立陽明交通大學	5124117	生物醫學資訊研究所	D 日	D 博士	34	0	5	18 新竹市	1 一般
7	國立陽明交通大學	5124117	生物醫學資訊研究所	D 日	M 碩士	61	0	29	18 新竹市	1 一般
7	國立陽明交通大學	5199035	跨領域神經科學國際研究生博士學位學程	D 日	D 博士	23	0	3	18 新竹市	1 一般
7	國立陽明交通大學	5199163	學士班大一大二不分系	D 日	B 學士	25	0	0	18 新竹市	1 一般
7	國立陽明交通大學	5211043	環境科技博士學位學程(台灣聯合大學系統)	D 日	D 博士	6	0	1	18 新竹市	1 一般
7	國立陽明交通大學	5311036	應用化學系	D 日	D 博士	59	0	12	18 新竹市	1 一般
7	國立陽明交通大學	5311036	應用化學系	D 日	M 碩士	246	0	82	18 新竹市	1 一般
7	國立陽明交通大學	5311036	應用化學系	D 日	B 學士	207	32	52	18 新竹市	1 一般
7	國立陽明交通大學	5311038	跨領域分子科學國際碩士學位學程	D 日	M 碩士	1	0	3	18 新竹市	1 一般
7	國立陽明交通大學	5311039	永續化學科技國際研究生博士學位學程	D 日	D 博士	51	0	9	18 新竹市	1 一般
7	國立陽明交通大學	5331040	物理研究所	D 日	D 博士	13	0	0	18 新竹市	1 一般
7	國立陽明交通大學	5331040	物理研究所	D 日	M 碩士	73	8	34	18 新竹市	1 一般
7	國立陽明交通大學	5331041	電子物理學系	D 日	D 博士	79	0	12	18 新竹市	1 一般
7	國立陽明交通大學	5331041	電子物理學系	D 日	M 碩士	163	0	56	18 新竹市	1 一般
7	國立陽明交通大學	5331041	電子物理學系	D 日	B 學士	228	27	44	18 新竹市	1 一般
7	國立陽明交通大學	5399042	加速器光源科技與應用博士學位學程	D 日	D 博士	2	0	0	18 新竹市	1 一般
7	國立陽明交通大學	5399042	加速器光源科技與應用碩士學位學程	D 日	M 碩士	5	0	1	18 新竹市	1 一般
7	國立陽明交通大學	5399044	理學院碩士在職專班	N 職	M 碩士	129	0	35	18 新竹市	1 一般
7	國立陽明交通大學	5399044	理學院科學學士學位學程	D 日	B 學士	3	4	0	18 新竹市	1 一般
7	國立陽明交通大學	5411045	應用數學系	D 日	D 博士	13	0	6	18 新竹市	1 一般
7	國立陽明交通大學	5411045	應用數學系	D 日	M 碩士	71	0	33	18 新竹市	1 一般
7	國立陽明交通大學	5411045	應用數學系	D 日	B 學士	223	25	36	18 新竹市	1 一般
7	國立陽明交通大學	5421047	統計學研究所	D 日	D 博士	10	0	0	18 新竹市	1 一般
7	國立陽明交通大學	5421047	統計學研究所	D 日	M 碩士	47	8	22	18 新竹市	1 一般
7	國立陽明交通大學	6121048	網路與資訊系統博士學位學程	D 日	D 博士	3	0	0	18 新竹市	1 一般
7	國立陽明交通大學	6121060	網路工程研究所	D 日	M 碩士	123	7	43	18 新竹市	1 一般
7	國立陽明交通大學	6131022	資訊管理研究所	D 日	D 博士	29	0	3	18 新竹市	1 一般
7	國立陽明交通大學	6131022	資訊管理研究所	D 日	M 碩士	93	7	36	18 新竹市	1 一般
7	國立陽明交通大學	6131058	資訊工程學系	D 日	B 學士	819	27	167	18 新竹市	1 一般
7	國立陽明交通大學	6131061	資訊科學與工程研究所	D 日	D 博士	140	0	7	18 新竹市	1 一般
7	國立陽明交通大學	6131061	資訊科學與工程研究所	D 日	M 碩士	406	14	146	18 新竹市	1 一般
7	國立陽明交通大學	6131069	資訊學院博士班	D 日	D 博士	8	0	0	18 新竹市	1 一般
7	國立陽明交通大學	6131092	數據科學與工程研究所	D 日	M 碩士	89	8	33	18 新竹市	1 一般
7	國立陽明交通大學	6131098	資訊學院國防資安管理碩士在職現役軍人營區專班	N 職	M 碩士	80	0	5	18 新竹市	1 一般
7	國立陽明交通大學	6131100	資電亥客與安全碩士學位學程	D 日	M 碩士	39	2	6	18 新竹市	1 一般
7	國立陽明交通大學	6131104	智慧計算與科技研究所	D 日	M 碩士	40	7	3	18 新竹市	1 一般
7	國立陽明交通大學	6131106	智慧科學暨綠能學院博士班	D 日	D 博士	5	0	0	18 新竹市	1 一般
7	國立陽明交通大學	6132049	多媒體工程研究所	D 日	M 碩士	133	7	30	18 新竹市	1 一般
7	國立陽明交通大學	6133082	聲音與音樂創意科技碩士學位學程	D 日	M 碩士	0	0	1	18 新竹市	1 一般
7	國立陽明交通大學	6199105	智慧與綠能產學研究所	D 日	M 碩士	44	3	2	18 新竹市	1 一般
7	國立陽明交通大學	06199Y95	智慧科學暨綠能學院	D 日		0	1	0	18 新竹市	1 一般
7	國立陽明交通大學	7112072	材料科學與工程學系	D 日	D 博士	141	0	25	18 新竹市	1 一般
7	國立陽明交通大學	7112072	材料科學與工程學系	D 日	M 碩士	222	0	64	18 新竹市	1 一般
7	國立陽明交通大學	7112072	材料科學與工程學系	D 日	B 學士	198	23	46	18 新竹市	1 一般
7	國立陽明交通大學	7121076	環境工程研究所	D 日	D 博士	23	0	4	18 新竹市	1 一般
7	國立陽明交通大學	7121076	環境工程研究所	D 日	M 碩士	72	7	28	18 新竹市	1 一般
7	國立陽明交通大學	7132081	照明與能源光電博士學位學程	D 日	D 博士	0	0	1	18 新竹市	1 一般
7	國立陽明交通大學	7132081	照明與能源光電研究所	D 日	M 碩士	75	8	25	18 新竹市	1 一般
